"Indicator_Type","Unique_Item","File_Hash","Malware_Family","Meaningful_Name","Last_Observation_Date"
"VT Tag","peexe","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd","Trojan:Win32/Brosin.A!dha","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd.exe","2023-09-21"
"VT Tag","peexe","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","Trojan:Win32/Znyonm","MySnake.EXE","2023-09-21"
"VT Tag","peexe","a88ca28b0948e810d4eb519db7b72a40cfe7907ce4c6a881a192880278f3c8b5","Trojan:Win32/Znyonm","msfltr32.exe","2023-09-21"
"VT Tag","peexe","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"VT Tag","runtime-modules","a88ca28b0948e810d4eb519db7b72a40cfe7907ce4c6a881a192880278f3c8b5","Trojan:Win32/Znyonm","msfltr32.exe","2023-09-21"
"VT Tag","runtime-modules","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd","Trojan:Win32/Znyonm","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd.exe","2023-09-21"
"VT Tag","runtime-modules","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","Trojan:Win32/Znyonm","MySnake.EXE","2023-09-21"
"VT Tag","runtime-modules","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd","Trojan:Win32/Brosin.A!dha","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd.exe","2023-09-21"
"VT Tag","runtime-modules","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"VT Tag","spreader","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","Trojan:Win32/Znyonm","MySnake.EXE","2023-09-21"
"VT Tag","spreader","a88ca28b0948e810d4eb519db7b72a40cfe7907ce4c6a881a192880278f3c8b5","Trojan:Win32/Znyonm","msfltr32.exe","2023-09-21"
"VT Tag","spreader","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd","Trojan:Win32/Znyonm","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd.exe","2023-09-21"
"Windows API","ADVAPI32.dll!CryptAcquireContextA","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd","Trojan:Win32/Znyonm","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd.exe","2023-09-21"
"Windows API","ADVAPI32.dll!CryptAcquireContextA","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","ADVAPI32.dll!CryptDecrypt","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","ADVAPI32.dll!CryptDecrypt","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd","Trojan:Win32/Znyonm","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd.exe","2023-09-21"
"Windows API","ADVAPI32.dll!CryptDestroyKey","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd","Trojan:Win32/Znyonm","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd.exe","2023-09-21"
"Windows API","ADVAPI32.dll!CryptDestroyKey","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","ADVAPI32.dll!CryptEncrypt","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","ADVAPI32.dll!CryptEncrypt","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd","Trojan:Win32/Znyonm","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd.exe","2023-09-21"
"Windows API","ADVAPI32.dll!CryptImportKey","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","ADVAPI32.dll!CryptImportKey","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd","Trojan:Win32/Znyonm","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd.exe","2023-09-21"
"Windows API","ADVAPI32.dll!CryptReleaseContext","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","ADVAPI32.dll!CryptReleaseContext","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd","Trojan:Win32/Znyonm","11cd4b64dcac3195c01ffc937ae1eb77aa2f98d560a75347036d54a1cf69a5fd.exe","2023-09-21"
"Windows API","ADVAPI32.dll!OpenProcessToken","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd","Trojan:Win32/Brosin.A!dha","01e5ebc2c096d465800660a0ad6d62208a5b2b675e3700f3734fac225b1d38bd.exe","2023-09-21"
"Windows API","ADVAPI32.dll!RegCloseKey","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","Trojan:Win32/Znyonm","MySnake.EXE","2023-09-21"
"Windows API","ADVAPI32.dll!RegDeleteValueA","a88ca28b0948e810d4eb519db7b72a40cfe7907ce4c6a881a192880278f3c8b5","Trojan:Win32/Znyonm","msfltr32.exe","2023-09-21"
"Windows API","ADVAPI32.dll!RegDeleteValueA","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","Trojan:Win32/Znyonm","MySnake.EXE","2023-09-21"
"Windows API","ADVAPI32.dll!RegOpenKeyA","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","Trojan:Win32/Znyonm","MySnake.EXE","2023-09-21"
"Windows API","ADVAPI32.dll!RegOpenKeyExA","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","Trojan:Win32/Znyonm","MySnake.EXE","2023-09-21"
"Windows API","ADVAPI32.dll!RegQueryValueExA","0ea0b19c562d20c6ac89a1f2db06eedcb147cde2281e79bb0497cef62094b514","Trojan:Win32/Znyonm","MySnake.EXE","2023-09-21"
"Windows API","api-ms-win-crt-heap-l1-1-0.dll!_set_new_mode","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-heap-l1-1-0.dll!calloc","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-heap-l1-1-0.dll!free","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-heap-l1-1-0.dll!malloc","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-heap-l1-1-0.dll!realloc","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-locale-l1-1-0.dll!_configthreadlocale","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-math-l1-1-0.dll!__setusermatherr","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!__p___argc","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!__p___argv","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!_c_exit","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!_cexit","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!_configure_narrow_argv","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!_controlfp_s","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!_crt_atexit","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!_exit","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!_get_initial_narrow_environment","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!_initialize_narrow_environment","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!_initialize_onexit_table","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!_initterm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!_initterm_e","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!_register_onexit_function","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!_register_thread_local_exe_atexit_callback","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!_seh_filter_exe","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!_set_app_type","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!exit","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-runtime-l1-1-0.dll!terminate","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-stdio-l1-1-0.dll!__acrt_iob_func","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-stdio-l1-1-0.dll!__p__commode","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-stdio-l1-1-0.dll!__stdio_common_vfprintf","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-stdio-l1-1-0.dll!_set_fmode","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-stdio-l1-1-0.dll!fclose","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
"Windows API","api-ms-win-crt-stdio-l1-1-0.dll!fflush","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc","Trojan:Win32/Znyonm","89f250599e09f8631040e73cd9ea5e515d87e3d1d989f484686893becec1a9bc.exe","2023-09-21"
